sale_def,bed,bath,area_heated,area,dist_cbd,dist_lakes,pool
402790,5,4,3635,22068,20857.29,533.57,0
137712,3,2,1468,7644,18099.68,846.79,1
106709,3,2,1657,10872,14920.69,197.21,0
174688,4,2,1544,9713,4462.73,166.47,0
79996,4,2,1298,8245,8515.42,744.16,0
117352,3,2,1623,12001,12925.07,437.48,0
136680,3,2.5,1784,5520,9432.61,1678.74,0
89642,3,2,1542,9521,28064.93,1597.31,0
110463,3,2,1469,8256,18026.68,2901.68,0
113979,3,2,1459,4500,15104.97,351.61,0
145287,3,2,1522,10739,8055.22,75.33,1
78249,3,1.5,1042,6937,17716.05,704.13,0
252592,4,3,2650,8524,14231.19,5099.51,0
83550,2,1,1258,8396,6292.39,1402.21,0
175807,4,2,1996,5492,22095.11,1240.55,0
183737,4,2,1719,6091,20832.36,5287.79,1
158723,4,2,1576,6890,14013.45,3574.04,0
132881,4,2,1574,4403,19056.7,4083.74,0
151757,3,2,1431,8036,12706.64,2151.75,0
168336,3,2.5,1850,10020,18209.28,1788.69,1
168196,3,2.5,2020,6458,21878.23,3491.26,0
93775,3,1.5,1290,8378,8305.62,1118.42,1
224958,4,3,2756,8260,20438.48,360.16,0
31093,3,1,1038,4904,1449.71,657.88,0
155663,4,2,1868,5972,19350.94,1674.54,0
86786,3,1,912,7498,8754.8,1623.17,0
107359,2,2,1115,7486,16431.36,487.91,0
196513,4,3,2299,6077,21650.73,3578.68,0
84720,2,2,958,10128,11619.78,300.07,0
184286,4,2,1829,10611,4790.53,524.31,0
277914,3,3,3050,12358,20218.71,1613.93,1
240978,5,3,3724,11682,12405.74,4742.62,0
181232,4,2,1931,12335,15120.41,2242.34,1
298217,4,3.5,3080,14378,19295.6,248.5,1
146665,4,2,2098,9640,11630.84,164.97,0
142399,3,2,1619,5000,21398.93,7064.61,0
165491,3,2,1659,10058,8430.76,826.01,1
170699,3,2.5,1817,3640,16354.7,127.06,0
148991,3,2,1532,8161,3459.74,560.91,0
125846,2,2,1206,4059,23121.44,2408.05,0
305013,4,3,2481,11220,17320.32,396.64,0
151085,3,2,1614,6637,21823.89,865.13,0
203950,4,2,2298,8819,21994.37,1031.21,0
793832,4,4.5,4504,20499,18090.42,515.11,1
289444,4,3,2774,14652,18522.89,93.19,1
119079,3,2.5,1993,9690,15996.25,82.57,0
211567,4,2,1768,9781,22534.39,158.43,0
126738,3,2,1709,8810,11688.97,625.63,0
120361,5,3,2376,7501,10107.93,1542.75,0
317279,3,2,2267,11932,7161.36,613.94,0
199396,4,2,1911,7810,14614.24,2088.57,1
89488,2,2,908,6983,6411.11,737.66,0
181302,3,1.5,1386,6234,3981.02,1021.27,0
149529,4,2,2014,12619,12535.75,352.77,1
103432,5,3,2010,10128,4704.55,619.61,0
77723,3,1.5,1094,8258,9827.94,251.56,0
93496,3,2,1248,6386,7119.35,1487.95,0
172900,4,2,2616,10800,14744.47,335,1
106175,4,2.5,2376,11538,9119.39,1728.22,0
234969,4,3.5,3080,19283,19645.21,420.26,1
163190,4,2.5,2319,5400,14815.37,325.2,0
169088,4,2,2075,6618,20117.84,735.72,0
245222,4,2,1770,14467,5249.28,16.74,0
250612,5,3,2738,15428,12804.04,76.97,1
176257,3,2,2143,8051,9876.76,217.43,0
133741,3,2.5,1358,6199,18284.07,2106.23,0
353783,5,3,3050,11491,20419.03,1742.52,1
94659,3,1,1051,8794,14391.22,1277.79,0
142087,3,2.5,1760,3802,16325.33,115.06,0
115693,4,2.5,2142,6630,22125.95,604.38,0
74122,3,2,1173,8539,18088.82,390.78,0
134128,4,3,2755,10848,8998.23,999.48,0
239075,4,3,2735,7101,20995.37,3301.45,1
147884,5,2.5,1820,11110,9187.68,1670.19,0
200446,4,2.5,2505,30864,11761.54,164.16,0
126739,4,2.5,1430,5366,18872.87,4115.23,0
182401,3,2,1849,6017,22824.39,2236.99,0
215000,3,2,2679,9471,20893.69,5164.37,1
133220,3,2,1419,13065,6930.29,741.47,0
93453,4,2,1258,8186,8538.36,1838.71,0
281201,4,3,3162,6168,22862.04,530.72,1
97292,3,2,1304,9214,11948.71,3890.99,0
190572,4,3,2523,11270,21112.27,5153.35,0
123672,3,2,1675,5049,14537.51,4119.12,0
207682,4,2,2323,6900,20069.13,2618.1,1
1883188,5,5.5,4871,44481,19477.76,56.05,1
78877,3,2,888,8010,16480.8,238.98,0
214546,3,2.5,1824,5956,9872.53,179.52,0
154849,4,2,1697,5750,21058.31,1813.09,0
113037,3,2,1350,7315,9782.41,1209.93,1
142956,3,2,1739,11417,14255.81,2450.85,0
123067,3,2,1240,8658,13241.1,4916.6,0
450157,4,3,2837,24000,18660.07,285.46,1
144555,4,2,2039,8690,12472.93,4256.23,0
242835,5,3,3688,9019,22589.15,828.31,0
343691,6,3.5,3866,11561,20972.43,3530.11,1
121439,3,2,1310,4523,9928.27,1788.94,0
49911,3,2,1100,1999,21992.3,526.8,0
131599,3,2,1621,10001,19732.15,562.1,0
134951,2,2,1008,7050,3830.82,955.08,0
184656,3,2,1830,21851,14529.02,642.55,0
157828,4,2,2478,15684,19506.74,878.25,0
116878,3,2,1929,13073,15976.96,3295.72,0
415521,5,3.5,2882,13771,17850.02,620.59,1
155593,3,2,1819,13632,15030.18,308.84,0
105442,3,2,1314,7131,9178.05,947.77,0
145678,3,2,1793,8623,13557.86,395.83,0
129370,3,2,1456,10000,29950.67,2256.33,0
129434,3,2,1588,12745,12219.27,4026.76,1
179246,4,3,2170,10802,13377.18,295.18,0
134616,3,2,1300,4401,20002.29,1137.67,0
781839,3,4,4767,16834,18639.26,572.79,1
238468,5,3,3104,9250,14843.11,157.84,0
136108,2,1,891,9965,3374.19,172.29,1
328364,4,3,3193,19093,11016.18,3927.44,0
297476,5,4,3195,10625,20727.87,642.15,1
138249,3,2.5,2215,7061,24417.97,924.65,0
142022,4,2,1470,4739,14899.03,5369.5,0
197115,3,2,2373,10587,22076.84,160.02,0
683963,4,2,2887,28896,9401.11,203.74,1
191195,4,2,2153,7354,16952.1,246.57,1
157871,3,2,1948,7076,25729.14,1267.79,0
154833,3,2,1534,11795,7592.32,671.5,1
102801,3,2,1612,7449,13924.94,840.28,0
217989,5,3,2976,13688,21522.69,5798.28,0
91311,3,2,1237,10540,12766.26,688.7,0
98925,3,2,1279,7868,17066.14,840.05,0
114271,3,2,1432,8257,8462.86,763.82,0
138659,3,2.5,1561,2906,23182.13,2323.35,0
142952,4,2.5,1718,5499,10788.86,409.23,0
63849,3,1,1029,9584,12182.69,138.88,0
142396,3,2,1324,5740,11856.63,3550.26,0
194499,3,2,2391,14337,6051.12,38.14,0
118846,3,2,1874,5499,16922.81,5831.24,0
113689,3,2,1484,9822,8259.51,82.48,1
181576,3,2,1633,6552,11594.54,385.36,0
108312,3,2,1595,10629,18864.22,5607.36,0
255767,4,2.5,3446,10472,20482.88,8005.85,0
170124,4,2,1895,5498,21579.06,1343.86,0
102011,3,2,1724,2080,20280.97,5386.19,0
63172,2,1,936,8745,21362.29,336.44,0
164230,4,2,1856,6667,15184.95,648.11,0
121371,3,2,1248,7730,4752.99,357.67,0
155991,3,2,1569,5502,22359.53,352.24,0
90084,4,2,1522,10188,9864.43,248.59,0
395293,4,3,3019,12888,22016.85,86.67,1
236608,4,3,2529,12593,26639.18,1701.8,0
162775,4,2,2052,6050,21318.05,291.66,0
118153,2,1,888,6052,2120.35,724.07,0
197601,3,2,2400,8790,22569.56,798.91,0
280011,4,3,3363,9344,18007.64,769.04,0
184845,3,2,1933,29149,28451.93,442.37,0
144608,3,2,1327,11175,11256.71,365.4,1
129400,3,2,1729,7155,15887.65,43.41,0
92184,3,2,1427,4722,8451.93,803,0
99625,2,2,966,3948,11683.21,1770.19,0
155572,3,2,1480,16147,12099.03,24.28,0
154736,3,2,1928,8055,18950.28,649.98,0
77916,3,1,1130,7909,12683.48,845.13,0
233113,4,2.5,2315,15322,23992.21,582.32,1
143760,3,2,1140,3570,598.23,452.45,0
82004,3,1,1350,8711,3746.14,253.11,0
102730,2,1,1034,13479,3008.07,340.29,0
332861,5,3.5,2988,9594,15668.7,2431.83,1
478467,4,3,2292,55308,17453.87,116.44,1
116809,3,2,1209,8864,17124.29,5354.5,0
591942,4,3,2393,12454,8298.42,157.98,0
127426,4,2,1490,7999,10335.58,1285.16,0
